MODEL.01
Isotropic model 
ISOTROPIC 
KGS 
FLAT EARTH 
1-D 
CONSTANT VELOCITY 
LINE08
LINE09
LINE10
LINE11
H(KM) VP(KM/S)  VS(KM/S) RHO(GM/CC)  QP    QS   ETAP   ETAS   FREFP  FREFS
  0.50   2.90   1.40   2.24   160    80  0  0 1.0 1.0
  0.50   3.13   1.61   2.28   160    80  0  0 1.0 1.0
  0.50   3.37   1.81   2.31   160    80  0  0 1.0 1.0
  0.50   3.61   2.02   2.34   160    80  0  0 1.0 1.0
  0.50   3.88   2.22   2.36  1600   600  0  0 1.0 1.0
  0.50   4.16   2.43   2.40  1600   600  0  0 1.0 1.0
  0.50   4.46   2.64   2.44  1600   600  0  0 1.0 1.0
  0.50   5.24   3.11   2.57  1600   600  0  0 1.0 1.0
  0.50   5.31   3.15   2.58  1600   600  0  0 1.0 1.0
  0.50   5.36   3.18   2.59  1600   600  0  0 1.0 1.0
  0.50   5.42   3.21   2.60  1600   600  0  0 1.0 1.0
  0.50   5.47   3.24   2.61  1600   600  0  0 1.0 1.0
  0.50   5.52   3.27   2.62  1600   600  0  0 1.0 1.0
  0.50   5.56   3.29   2.63  1600   600  0  0 1.0 1.0
  0.50   5.61   3.31   2.64  1600   600  0  0 1.0 1.0
  0.50   5.64   3.33   2.65  1600   600  0  0 1.0 1.0
  0.50   5.68   3.35   2.66  1600   600  0  0 1.0 1.0
  0.50   5.71   3.37   2.66  1600   600  0  0 1.0 1.0
  0.50   5.74   3.39   2.67  1600   600  0  0 1.0 1.0
  0.50   5.77   3.40   2.68  1600   600  0  0 1.0 1.0
  0.50   5.79   3.41   2.68  1600   600  0  0 1.0 1.0
  0.50   5.82   3.43   2.69  1600   600  0  0 1.0 1.0
  0.50   5.84   3.44   2.69  1600   600  0  0 1.0 1.0
  0.50   5.86   3.45   2.70  1600   600  0  0 1.0 1.0
  0.50   5.88   3.46   2.70  1600   600  0  0 1.0 1.0
  0.50   5.89   3.47   2.70  1600   600  0  0 1.0 1.0
  0.50   5.91   3.47   2.71  1600   600  0  0 1.0 1.0
  0.50   5.92   3.48   2.71  1600   600  0  0 1.0 1.0
  0.50   5.93   3.49   2.71  1600   600  0  0 1.0 1.0
  0.50   5.95   3.50   2.72  1600   600  0  0 1.0 1.0
  0.50   5.96   3.50   2.72  1600   600  0  0 1.0 1.0
  0.50   5.97   3.51   2.72  1600   600  0  0 1.0 1.0
  0.50   5.99   3.52   2.72  1600   600  0  0 1.0 1.0
  0.50   6.00   3.52   2.73  1600   600  0  0 1.0 1.0
  0.50   6.01   3.53   2.73  1600   600  0  0 1.0 1.0
  0.50   6.03   3.54   2.73  1600   600  0  0 1.0 1.0
  0.50   6.04   3.54   2.74  1600   600  0  0 1.0 1.0
  0.50   6.06   3.55   2.74  1600   600  0  0 1.0 1.0
  0.50   6.08   3.56   2.75  1600   600  0  0 1.0 1.0
  0.50   6.09   3.57   2.75  1600   600  0  0 1.0 1.0
  0.50   6.11   3.58   2.75  1600   600  0  0 1.0 1.0
  0.50   6.14   3.59   2.76  1600   600  0  0 1.0 1.0
  0.50   6.16   3.61   2.77  1600   600  0  0 1.0 1.0
  0.50   6.19   3.62   2.77  1600   600  0  0 1.0 1.0
  0.50   6.22   3.64   2.78  1600   600  0  0 1.0 1.0
  0.50   6.25   3.65   2.79  1600   600  0  0 1.0 1.0
  0.50   6.29   3.67   2.80  1600   600  0  0 1.0 1.0
  0.50   6.33   3.69   2.80  1600   600  0  0 1.0 1.0
  0.50   6.37   3.71   2.82  1600   600  0  0 1.0 1.0
  0.50   6.41   3.74   2.83  1600   600  0  0 1.0 1.0
  0.50   6.46   3.76   2.84  1600   600  0  0 1.0 1.0
  0.50   6.52   3.79   2.85  1600   600  0  0 1.0 1.0
  0.50   6.58   3.82   2.87  1600   600  0  0 1.0 1.0
  0.50   6.64   3.85   2.88  1600   600  0  0 1.0 1.0
  0.50   6.71   3.88   2.90  1600   600  0  0 1.0 1.0
  0.50   6.78   3.92   2.92  1600   600  0  0 1.0 1.0
  0.50   7.94   4.52   3.23  1600   600  0  0 1.0 1.0
  0.50   7.93   4.51   3.23  1600   600  0  0 1.0 1.0
  0.50   7.92   4.51   3.23  1600   600  0  0 1.0 1.0
  0.50   7.91   4.50   3.23  1600   600  0  0 1.0 1.0
  0.50   7.91   4.50   3.23  1600   600  0  0 1.0 1.0
  0.50   7.90   4.50   3.22  1600   600  0  0 1.0 1.0
  0.50   7.89   4.49   3.22  1600   600  0  0 1.0 1.0
  0.50   7.88   4.49   3.22  1600   600  0  0 1.0 1.0
  0.50   7.88   4.48   3.22  1600   600  0  0 1.0 1.0
  0.50   7.87   4.48   3.22  1600   600  0  0 1.0 1.0
  0.50   7.86   4.48   3.21  1600   600  0  0 1.0 1.0
  0.50   7.86   4.47   3.21  1600   600  0  0 1.0 1.0
  0.50   7.85   4.47   3.21  1600   600  0  0 1.0 1.0
  0.50   7.84   4.47   3.21  1600   600  0  0 1.0 1.0
  0.50   7.84   4.46   3.21  1600   600  0  0 1.0 1.0
  0.50   7.83   4.46   3.20  1600   600  0  0 1.0 1.0
  0.50   7.83   4.46   3.20  1600   600  0  0 1.0 1.0
  0.50   7.82   4.45   3.20  1600   600  0  0 1.0 1.0
  0.50   7.81   4.45   3.20  1600   600  0  0 1.0 1.0
  0.50   7.81   4.45   3.20  1600   600  0  0 1.0 1.0
  0.50   7.81   4.45   3.20  1600   600  0  0 1.0 1.0
  0.50   7.80   4.44   3.20  1600   600  0  0 1.0 1.0
  0.50   7.80   4.44   3.19  1600   600  0  0 1.0 1.0
  0.50   7.79   4.44   3.19  1600   600  0  0 1.0 1.0
  0.50   7.79   4.44   3.19  1600   600  0  0 1.0 1.0
  0.50   7.78   4.43   3.19  1600   600  0  0 1.0 1.0
  0.50   7.78   4.43   3.19  1600   600  0  0 1.0 1.0
  0.50   7.77   4.43   3.19  1600   600  0  0 1.0 1.0
  0.50   7.77   4.43   3.19  1600   600  0  0 1.0 1.0
  0.50   7.77   4.43   3.19  1600   600  0  0 1.0 1.0
  0.50   7.76   4.42   3.19  1600   600  0  0 1.0 1.0
  0.50   7.76   4.42   3.18  1600   600  0  0 1.0 1.0
  0.50   7.76   4.42   3.18  1600   600  0  0 1.0 1.0
  0.50   7.75   4.42   3.18  1600   600  0  0 1.0 1.0
  0.50   7.75   4.42   3.18  1600   600  0  0 1.0 1.0
  0.50   7.75   4.42   3.18  1600   600  0  0 1.0 1.0
  0.50   7.74   4.41   3.18  1600   600  0  0 1.0 1.0
  0.50   7.74   4.41   3.18  1600   600  0  0 1.0 1.0
  0.50   7.74   4.41   3.18  1600   600  0  0 1.0 1.0
  0.50   7.74   4.41   3.18  1600   600  0  0 1.0 1.0
  0.50   7.74   4.41   3.18  1600   600  0  0 1.0 1.0
  0.50   7.73   4.41   3.18  1600   600  0  0 1.0 1.0
  0.50   7.73   4.41   3.18  1600   600  0  0 1.0 1.0
  0.50   7.73   4.41   3.18  1600   600  0  0 1.0 1.0
  0.50   7.73   4.41   3.18  1600   600  0  0 1.0 1.0
  0.50   7.73   4.40   3.18  1600   600  0  0 1.0 1.0
  0.50   7.73   4.40   3.18  1600   600  0  0 1.0 1.0
  0.50   7.73   4.40   3.17  1600   600  0  0 1.0 1.0
  0.50   7.72   4.40   3.17  1600   600  0  0 1.0 1.0
  0.50   7.72   4.40   3.17  1600   600  0  0 1.0 1.0
  0.50   7.72   4.40   3.17  1600   600  0  0 1.0 1.0
  0.50   7.72   4.40   3.17  1600   600  0  0 1.0 1.0
  0.50   7.72   4.40   3.17  1600   600  0  0 1.0 1.0
  0.50   7.72   4.40   3.17  1600   600  0  0 1.0 1.0
  0.50   7.72   4.40   3.17  1600   600  0  0 1.0 1.0
  0.50   7.72   4.40   3.17  1600   600  0  0 1.0 1.0
  0.50   7.72   4.40   3.17  1600   600  0  0 1.0 1.0
  0.50   7.72   4.40   3.17  1600   600  0  0 1.0 1.0
  0.50   7.72   4.40   3.17  1600   600  0  0 1.0 1.0
  0.50   7.72   4.40   3.17  1600   600  0  0 1.0 1.0
  0.50   7.72   4.40   3.17  1600   600  0  0 1.0 1.0
  0.50   7.72   4.40   3.17  1600   600  0  0 1.0 1.0
  0.50   7.72   4.40   3.17  1600   600  0  0 1.0 1.0
  0.50   7.72   4.40   3.17  1600   600  0  0 1.0 1.0
  0.50   7.72   4.40   3.17  1600   600  0  0 1.0 1.0
  0.50   7.72   4.40   3.17  1600   600  0  0 1.0 1.0
  0.50   7.72   4.40   3.17  1600   600  0  0 1.0 1.0
  0.50   7.72   4.40   3.17  1600   600  0  0 1.0 1.0
  0.50   7.73   4.40   3.17  1600   600  0  0 1.0 1.0
  0.50   7.73   4.40   3.18  1600   600  0  0 1.0 1.0
  0.50   7.73   4.40   3.18  1600   600  0  0 1.0 1.0
  0.50   7.73   4.41   3.18  1600   600  0  0 1.0 1.0
  0.50   7.73   4.41   3.18  1600   600  0  0 1.0 1.0
  0.50   7.73   4.41   3.18  1600   600  0  0 1.0 1.0
  0.50   7.73   4.41   3.18  1600   600  0  0 1.0 1.0
  0.50   7.74   4.41   3.18  1600   600  0  0 1.0 1.0
  0.50   7.74   4.41   3.18  1600   600  0  0 1.0 1.0
  0.50   7.74   4.41   3.18  1600   600  0  0 1.0 1.0
  0.50   7.74   4.41   3.18  1600   600  0  0 1.0 1.0
  0.50   7.74   4.41   3.18  1600   600  0  0 1.0 1.0
  0.50   7.74   4.41   3.18  1600   600  0  0 1.0 1.0
  0.50   7.75   4.42   3.18  1600   600  0  0 1.0 1.0
  0.50   7.75   4.42   3.18  1600   600  0  0 1.0 1.0
  0.50   7.75   4.42   3.18  1600   600  0  0 1.0 1.0
  0.50   7.75   4.42   3.18  1600   600  0  0 1.0 1.0
  0.50   7.76   4.42   3.18  1600   600  0  0 1.0 1.0
  0.50   7.76   4.42   3.18  1600   600  0  0 1.0 1.0
  0.50   7.76   4.42   3.18  1600   600  0  0 1.0 1.0
  0.50   7.76   4.42   3.19  1600   600  0  0 1.0 1.0
  0.50   7.77   4.43   3.19  1600   600  0  0 1.0 1.0
  0.50   7.77   4.43   3.19  1600   600  0  0 1.0 1.0
  0.50   7.77   4.43   3.19  1600   600  0  0 1.0 1.0
  0.50   7.78   4.43   3.19  1600   600  0  0 1.0 1.0
  0.50   7.78   4.43   3.19  1600   600  0  0 1.0 1.0
  0.50   7.78   4.43   3.19  1600   600  0  0 1.0 1.0
  0.50   7.78   4.44   3.19  1600   600  0  0 1.0 1.0
  0.50   7.79   4.44   3.19  1600   600  0  0 1.0 1.0
  0.50   7.79   4.44   3.19  1600   600  0  0 1.0 1.0
  0.50   7.79   4.44   3.19  1600   600  0  0 1.0 1.0
  0.50   7.80   4.44   3.19  1600   600  0  0 1.0 1.0
  0.50   7.80   4.44   3.20  1600   600  0  0 1.0 1.0
  0.50   7.80   4.45   3.20  1600   600  0  0 1.0 1.0
  0.50   7.81   4.45   3.20  1600   600  0  0 1.0 1.0
  0.50   7.81   4.45   3.20  1600   600  0  0 1.0 1.0
  0.50   7.81   4.45   3.20  1600   600  0  0 1.0 1.0
  0.50   7.82   4.45   3.20  1600   600  0  0 1.0 1.0
  0.50   7.82   4.45   3.20  1600   600  0  0 1.0 1.0
  0.50   7.82   4.46   3.20  1600   600  0  0 1.0 1.0
  0.50   7.83   4.46   3.20  1600   600  0  0 1.0 1.0
  0.50   7.83   4.46   3.20  1600   600  0  0 1.0 1.0
  0.50   7.84   4.46   3.21  1600   600  0  0 1.0 1.0
  0.50   7.84   4.46   3.21  1600   600  0  0 1.0 1.0
  0.50   7.84   4.47   3.21  1600   600  0  0 1.0 1.0
  0.50   7.85   4.47   3.21  1600   600  0  0 1.0 1.0
  0.50   7.85   4.47   3.21  1600   600  0  0 1.0 1.0
  0.50   7.85   4.47   3.21  1600   600  0  0 1.0 1.0
  0.50   7.86   4.47   3.21  1600   600  0  0 1.0 1.0
  0.50   7.86   4.48   3.21  1600   600  0  0 1.0 1.0
  0.50   7.87   4.48   3.21  1600   600  0  0 1.0 1.0
  0.50   7.87   4.48   3.22  1600   600  0  0 1.0 1.0
  0.50   7.87   4.48   3.22  1600   600  0  0 1.0 1.0
  0.50   7.88   4.48   3.22  1600   600  0  0 1.0 1.0
  0.50   7.88   4.49   3.22  1600   600  0  0 1.0 1.0
  0.50   7.89   4.49   3.22  1600   600  0  0 1.0 1.0
  0.50   7.89   4.49   3.22  1600   600  0  0 1.0 1.0
  0.50   7.89   4.49   3.22  1600   600  0  0 1.0 1.0
  0.50   7.90   4.50   3.22  1600   600  0  0 1.0 1.0
  0.50   7.90   4.50   3.22  1600   600  0  0 1.0 1.0
  0.50   7.91   4.50   3.23  1600   600  0  0 1.0 1.0
  0.50   7.91   4.50   3.23  1600   600  0  0 1.0 1.0
  0.50   7.91   4.50   3.23  1600   600  0  0 1.0 1.0
  0.50   7.92   4.51   3.23  1600   600  0  0 1.0 1.0
  0.50   7.92   4.51   3.23  1600   600  0  0 1.0 1.0
  0.50   7.93   4.51   3.23  1600   600  0  0 1.0 1.0
  0.50   7.93   4.51   3.23  1600   600  0  0 1.0 1.0
  0.50   7.93   4.52   3.23  1600   600  0  0 1.0 1.0
  0.50   7.94   4.52   3.23  1600   600  0  0 1.0 1.0
  0.50   7.94   4.52   3.24  1600   600  0  0 1.0 1.0
